2022-04-05 18:38:39.436399
/home/siyu_ren/pugeo_pytorch/main.py
Namespace(batch_size=8, data_path='/home/siyu_ren/pugeo_pytorch_data/', eval_xyz='D:\\PUGEO\\test_5000', gpu='0', jitter_max=0.03, jitter_sigma=0.01, learning_rate=0.001, log_dir='log_x12', max_epoch=600, min_lr=1e-05, model='model_pugeo', num_patch=58, num_point=256, num_shape_point=5000, patch_num_ratio=3, phase='train', pretrained='', reg_normal1=0.1, reg_normal2=0.1, up_ratio=12)
epoch: 0 total loss: 1.294303, cd: 0.012292, dense normal: 0.314424, sparse normal: 0.337068
epoch: 1 total loss: 0.241251, cd: 0.001772, dense normal: 0.307311, sparse normal: 0.333620
epoch: 2 total loss: 0.198372, cd: 0.001375, dense normal: 0.295025, sparse normal: 0.313763
epoch: 3 total loss: 0.184882, cd: 0.001277, dense normal: 0.277122, sparse normal: 0.294292
epoch: 4 total loss: 0.175525, cd: 0.001205, dense normal: 0.269401, sparse normal: 0.280882
epoch: 5 total loss: 0.168305, cd: 0.001146, dense normal: 0.264401, sparse normal: 0.272764
epoch: 6 total loss: 0.163887, cd: 0.001112, dense normal: 0.260370, sparse normal: 0.266586
epoch: 7 total loss: 0.159265, cd: 0.001075, dense normal: 0.256636, sparse normal: 0.260626
epoch: 8 total loss: 0.155262, cd: 0.001042, dense normal: 0.253776, sparse normal: 0.256631
epoch: 9 total loss: 0.152827, cd: 0.001024, dense normal: 0.250859, sparse normal: 0.253550
epoch: 10 total loss: 0.152295, cd: 0.001017, dense normal: 0.252026, sparse normal: 0.254057
epoch: 11 total loss: 0.151265, cd: 0.001008, dense normal: 0.251143, sparse normal: 0.253218
epoch: 12 total loss: 0.149775, cd: 0.001000, dense normal: 0.248164, sparse normal: 0.249563
epoch: 13 total loss: 0.148043, cd: 0.000987, dense normal: 0.246483, sparse normal: 0.247164
epoch: 14 total loss: 0.147079, cd: 0.000978, dense normal: 0.246095, sparse normal: 0.246594
epoch: 15 total loss: 0.130388, cd: 0.000903, dense normal: 0.201476, sparse normal: 0.199696
epoch: 16 total loss: 0.108342, cd: 0.000797, dense normal: 0.144237, sparse normal: 0.142670
epoch: 17 total loss: 0.101953, cd: 0.000759, dense normal: 0.131335, sparse normal: 0.129415
epoch: 18 total loss: 0.098168, cd: 0.000737, dense normal: 0.123404, sparse normal: 0.121307
epoch: 19 total loss: 0.095924, cd: 0.000724, dense normal: 0.118605, sparse normal: 0.116316
epoch: 20 total loss: 0.093591, cd: 0.000710, dense normal: 0.113969, sparse normal: 0.111562
epoch: 21 total loss: 0.090941, cd: 0.000694, dense normal: 0.109286, sparse normal: 0.106414
epoch: 22 total loss: 0.088771, cd: 0.000681, dense normal: 0.104919, sparse normal: 0.101537
epoch: 23 total loss: 0.086479, cd: 0.000668, dense normal: 0.100446, sparse normal: 0.096560
epoch: 24 total loss: 0.082467, cd: 0.000646, dense normal: 0.091784, sparse normal: 0.086853
epoch: 25 total loss: 0.079168, cd: 0.000628, dense normal: 0.085044, sparse normal: 0.078984
epoch: 26 total loss: 0.076665, cd: 0.000613, dense normal: 0.080297, sparse normal: 0.073544
epoch: 27 total loss: 0.075121, cd: 0.000604, dense normal: 0.077245, sparse normal: 0.069881
epoch: 28 total loss: 0.074023, cd: 0.000598, dense normal: 0.075142, sparse normal: 0.067466
epoch: 29 total loss: 0.074904, cd: 0.000602, dense normal: 0.077220, sparse normal: 0.069445
epoch: 30 total loss: 0.073548, cd: 0.000594, dense normal: 0.074727, sparse normal: 0.066736
epoch: 31 total loss: 0.072879, cd: 0.000589, dense normal: 0.073920, sparse normal: 0.065831
epoch: 32 total loss: 0.072129, cd: 0.000584, dense normal: 0.072499, sparse normal: 0.064342
epoch: 33 total loss: 0.071808, cd: 0.000582, dense normal: 0.072055, sparse normal: 0.063836
epoch: 34 total loss: 0.071945, cd: 0.000583, dense normal: 0.072277, sparse normal: 0.064153
epoch: 35 total loss: 0.072145, cd: 0.000584, dense normal: 0.072621, sparse normal: 0.064507
epoch: 36 total loss: 0.071039, cd: 0.000577, dense normal: 0.071043, sparse normal: 0.062822
epoch: 37 total loss: 0.069968, cd: 0.000569, dense normal: 0.069535, sparse normal: 0.061208
epoch: 38 total loss: 0.069941, cd: 0.000569, dense normal: 0.069362, sparse normal: 0.061158
epoch: 39 total loss: 0.069571, cd: 0.000566, dense normal: 0.068928, sparse normal: 0.060615
epoch: 40 total loss: 0.069283, cd: 0.000565, dense normal: 0.068227, sparse normal: 0.059900
epoch: 41 total loss: 0.068421, cd: 0.000558, dense normal: 0.067289, sparse normal: 0.059082
epoch: 42 total loss: 0.068127, cd: 0.000556, dense normal: 0.066601, sparse normal: 0.058336
epoch: 43 total loss: 0.068272, cd: 0.000556, dense normal: 0.067281, sparse normal: 0.059054
epoch: 44 total loss: 0.068493, cd: 0.000558, dense normal: 0.067667, sparse normal: 0.059417
epoch: 45 total loss: 0.068809, cd: 0.000560, dense normal: 0.068168, sparse normal: 0.059861
epoch: 46 total loss: 0.068074, cd: 0.000555, dense normal: 0.066909, sparse normal: 0.058745
epoch: 47 total loss: 0.068007, cd: 0.000555, dense normal: 0.066545, sparse normal: 0.058415
epoch: 48 total loss: 0.067769, cd: 0.000553, dense normal: 0.066409, sparse normal: 0.058251
epoch: 49 total loss: 0.068034, cd: 0.000555, dense normal: 0.066944, sparse normal: 0.058734
epoch: 50 total loss: 0.067860, cd: 0.000553, dense normal: 0.067153, sparse normal: 0.058922
epoch: 51 total loss: 0.067846, cd: 0.000554, dense normal: 0.066545, sparse normal: 0.058321
epoch: 52 total loss: 0.067405, cd: 0.000550, dense normal: 0.066059, sparse normal: 0.057899
epoch: 53 total loss: 0.067788, cd: 0.000553, dense normal: 0.066773, sparse normal: 0.058639
epoch: 54 total loss: 0.067430, cd: 0.000551, dense normal: 0.065821, sparse normal: 0.057813
epoch: 55 total loss: 0.066875, cd: 0.000546, dense normal: 0.065406, sparse normal: 0.057351
epoch: 56 total loss: 0.066776, cd: 0.000546, dense normal: 0.065018, sparse normal: 0.056927
epoch: 57 total loss: 0.066963, cd: 0.000547, dense normal: 0.065275, sparse normal: 0.057268
epoch: 58 total loss: 0.066954, cd: 0.000546, dense normal: 0.065567, sparse normal: 0.057566
epoch: 59 total loss: 0.066438, cd: 0.000543, dense normal: 0.064608, sparse normal: 0.056639
epoch: 60 total loss: 0.066552, cd: 0.000544, dense normal: 0.064573, sparse normal: 0.056590
