2022-04-05 18:37:35.876813
/home/siyu_ren/pugeo_pytorch/main.py
Namespace(batch_size=8, data_path='/home/siyu_ren/pugeo_pytorch_data/', eval_xyz='D:\\PUGEO\\test_5000', gpu='0', jitter_max=0.03, jitter_sigma=0.01, learning_rate=0.001, log_dir='log_x4', max_epoch=600, min_lr=1e-05, model='model_pugeo', num_patch=58, num_point=256, num_shape_point=5000, patch_num_ratio=3, phase='train', pretrained='', reg_normal1=0.1, reg_normal2=0.1, up_ratio=4)
epoch: 0 total loss: 2.514971, cd: 0.024488, dense normal: 0.324401, sparse normal: 0.337287
epoch: 1 total loss: 0.484354, cd: 0.004185, dense normal: 0.321598, sparse normal: 0.336594
epoch: 2 total loss: 0.320968, cd: 0.002552, dense normal: 0.320414, sparse normal: 0.337196
epoch: 3 total loss: 0.271589, cd: 0.002063, dense normal: 0.318572, sparse normal: 0.334022
epoch: 4 total loss: 0.253901, cd: 0.001903, dense normal: 0.312343, sparse normal: 0.323471
epoch: 5 total loss: 0.242129, cd: 0.001818, dense normal: 0.298477, sparse normal: 0.304592
epoch: 6 total loss: 0.230193, cd: 0.001763, dense normal: 0.265202, sparse normal: 0.273986
epoch: 7 total loss: 0.216574, cd: 0.001685, dense normal: 0.236670, sparse normal: 0.243868
epoch: 8 total loss: 0.204684, cd: 0.001610, dense normal: 0.214476, sparse normal: 0.222600
epoch: 9 total loss: 0.191272, cd: 0.001525, dense normal: 0.189974, sparse normal: 0.197853
epoch: 10 total loss: 0.182026, cd: 0.001460, dense normal: 0.177538, sparse normal: 0.182952
epoch: 11 total loss: 0.176182, cd: 0.001421, dense normal: 0.168756, sparse normal: 0.172175
epoch: 12 total loss: 0.170497, cd: 0.001382, dense normal: 0.160557, sparse normal: 0.162625
epoch: 13 total loss: 0.166912, cd: 0.001357, dense normal: 0.155601, sparse normal: 0.156925
epoch: 14 total loss: 0.164338, cd: 0.001342, dense normal: 0.150467, sparse normal: 0.151302
epoch: 15 total loss: 0.162510, cd: 0.001332, dense normal: 0.146272, sparse normal: 0.146959
epoch: 16 total loss: 0.160219, cd: 0.001317, dense normal: 0.142516, sparse normal: 0.142990
epoch: 17 total loss: 0.158377, cd: 0.001306, dense normal: 0.138829, sparse normal: 0.139105
epoch: 18 total loss: 0.156918, cd: 0.001297, dense normal: 0.136175, sparse normal: 0.136304
epoch: 19 total loss: 0.154398, cd: 0.001284, dense normal: 0.129955, sparse normal: 0.129666
epoch: 20 total loss: 0.151835, cd: 0.001271, dense normal: 0.123894, sparse normal: 0.123277
epoch: 21 total loss: 0.145243, cd: 0.001235, dense normal: 0.109328, sparse normal: 0.107587
epoch: 22 total loss: 0.139191, cd: 0.001203, dense normal: 0.096028, sparse normal: 0.092793
epoch: 23 total loss: 0.136033, cd: 0.001185, dense normal: 0.089593, sparse normal: 0.085415
epoch: 24 total loss: 0.133886, cd: 0.001172, dense normal: 0.085801, sparse normal: 0.081180
epoch: 25 total loss: 0.132634, cd: 0.001164, dense normal: 0.083661, sparse normal: 0.078679
epoch: 26 total loss: 0.131198, cd: 0.001153, dense normal: 0.082320, sparse normal: 0.077198
epoch: 27 total loss: 0.130344, cd: 0.001145, dense normal: 0.081727, sparse normal: 0.076411
epoch: 28 total loss: 0.129235, cd: 0.001138, dense normal: 0.079845, sparse normal: 0.074475
epoch: 29 total loss: 0.128570, cd: 0.001133, dense normal: 0.079033, sparse normal: 0.073629
epoch: 30 total loss: 0.128208, cd: 0.001130, dense normal: 0.078731, sparse normal: 0.073198
epoch: 31 total loss: 0.127572, cd: 0.001125, dense normal: 0.078008, sparse normal: 0.072517
epoch: 32 total loss: 0.126503, cd: 0.001116, dense normal: 0.077368, sparse normal: 0.071804
epoch: 33 total loss: 0.126012, cd: 0.001113, dense normal: 0.076250, sparse normal: 0.070475
epoch: 34 total loss: 0.125212, cd: 0.001106, dense normal: 0.076046, sparse normal: 0.070082
epoch: 35 total loss: 0.124649, cd: 0.001102, dense normal: 0.075104, sparse normal: 0.069079
epoch: 36 total loss: 0.124274, cd: 0.001100, dense normal: 0.074639, sparse normal: 0.068552
epoch: 37 total loss: 0.123967, cd: 0.001097, dense normal: 0.074651, sparse normal: 0.068451
epoch: 38 total loss: 0.123358, cd: 0.001093, dense normal: 0.073571, sparse normal: 0.067316
epoch: 39 total loss: 0.123281, cd: 0.001093, dense normal: 0.073340, sparse normal: 0.066994
epoch: 40 total loss: 0.123037, cd: 0.001090, dense normal: 0.073315, sparse normal: 0.066893
epoch: 41 total loss: 0.121903, cd: 0.001081, dense normal: 0.072014, sparse normal: 0.065557
epoch: 42 total loss: 0.121681, cd: 0.001081, dense normal: 0.071378, sparse normal: 0.064741
epoch: 43 total loss: 0.121470, cd: 0.001078, dense normal: 0.071490, sparse normal: 0.064914
epoch: 44 total loss: 0.120789, cd: 0.001074, dense normal: 0.070080, sparse normal: 0.063380
epoch: 45 total loss: 0.120677, cd: 0.001074, dense normal: 0.069844, sparse normal: 0.063156
epoch: 46 total loss: 0.120435, cd: 0.001072, dense normal: 0.069702, sparse normal: 0.062917
epoch: 47 total loss: 0.120396, cd: 0.001071, dense normal: 0.069971, sparse normal: 0.063306
epoch: 48 total loss: 0.120700, cd: 0.001073, dense normal: 0.070391, sparse normal: 0.063800
epoch: 49 total loss: 0.120706, cd: 0.001074, dense normal: 0.070101, sparse normal: 0.063305
epoch: 50 total loss: 0.120125, cd: 0.001069, dense normal: 0.069339, sparse normal: 0.062505
epoch: 51 total loss: 0.119221, cd: 0.001063, dense normal: 0.068136, sparse normal: 0.061244
epoch: 52 total loss: 0.119508, cd: 0.001065, dense normal: 0.068393, sparse normal: 0.061473
epoch: 53 total loss: 0.119395, cd: 0.001065, dense normal: 0.068101, sparse normal: 0.061152
epoch: 54 total loss: 0.119226, cd: 0.001063, dense normal: 0.068024, sparse normal: 0.061033
epoch: 55 total loss: 0.119330, cd: 0.001064, dense normal: 0.068145, sparse normal: 0.061262
epoch: 56 total loss: 0.118970, cd: 0.001062, dense normal: 0.067495, sparse normal: 0.060461
epoch: 57 total loss: 0.118603, cd: 0.001059, dense normal: 0.067138, sparse normal: 0.060148
epoch: 58 total loss: 0.118559, cd: 0.001059, dense normal: 0.067066, sparse normal: 0.059939
epoch: 59 total loss: 0.118499, cd: 0.001058, dense normal: 0.067164, sparse normal: 0.060221
epoch: 60 total loss: 0.118491, cd: 0.001058, dense normal: 0.067050, sparse normal: 0.059997
epoch: 61 total loss: 0.118350, cd: 0.001057, dense normal: 0.066857, sparse normal: 0.059781
epoch: 62 total loss: 0.117700, cd: 0.001050, dense normal: 0.066773, sparse normal: 0.059688
epoch: 63 total loss: 0.117822, cd: 0.001052, dense normal: 0.066431, sparse normal: 0.059422
epoch: 64 total loss: 0.117785, cd: 0.001051, dense normal: 0.066763, sparse normal: 0.059689
epoch: 65 total loss: 0.117789, cd: 0.001052, dense normal: 0.066711, sparse normal: 0.059610
epoch: 66 total loss: 0.118057, cd: 0.001054, dense normal: 0.066943, sparse normal: 0.059900
epoch: 67 total loss: 0.117290, cd: 0.001049, dense normal: 0.065627, sparse normal: 0.058543
epoch: 68 total loss: 0.117376, cd: 0.001049, dense normal: 0.065936, sparse normal: 0.058759
epoch: 69 total loss: 0.117202, cd: 0.001048, dense normal: 0.065746, sparse normal: 0.058573
epoch: 70 total loss: 0.117449, cd: 0.001049, dense normal: 0.066151, sparse normal: 0.059033
epoch: 71 total loss: 0.117876, cd: 0.001053, dense normal: 0.066567, sparse normal: 0.059453
epoch: 72 total loss: 0.117227, cd: 0.001048, dense normal: 0.065745, sparse normal: 0.058587
epoch: 73 total loss: 0.117302, cd: 0.001048, dense normal: 0.065874, sparse normal: 0.058725
epoch: 74 total loss: 0.117114, cd: 0.001047, dense normal: 0.065370, sparse normal: 0.058274
epoch: 75 total loss: 0.117222, cd: 0.001048, dense normal: 0.065742, sparse normal: 0.058671
epoch: 76 total loss: 0.117161, cd: 0.001047, dense normal: 0.065720, sparse normal: 0.058599
epoch: 77 total loss: 0.117073, cd: 0.001047, dense normal: 0.065471, sparse normal: 0.058392
epoch: 78 total loss: 0.117002, cd: 0.001047, dense normal: 0.065292, sparse normal: 0.058108
epoch: 79 total loss: 0.116859, cd: 0.001046, dense normal: 0.065086, sparse normal: 0.057876
epoch: 80 total loss: 0.116994, cd: 0.001046, dense normal: 0.065339, sparse normal: 0.058187
epoch: 81 total loss: 0.116546, cd: 0.001043, dense normal: 0.064974, sparse normal: 0.057799
epoch: 82 total loss: 0.116058, cd: 0.001039, dense normal: 0.064530, sparse normal: 0.057202
epoch: 83 total loss: 0.116119, cd: 0.001040, dense normal: 0.064365, sparse normal: 0.057091
epoch: 84 total loss: 0.116282, cd: 0.001041, dense normal: 0.064344, sparse normal: 0.057163
epoch: 85 total loss: 0.116035, cd: 0.001039, dense normal: 0.064401, sparse normal: 0.057205
epoch: 86 total loss: 0.116071, cd: 0.001039, dense normal: 0.064443, sparse normal: 0.057205
epoch: 87 total loss: 0.116189, cd: 0.001040, dense normal: 0.064493, sparse normal: 0.057211
epoch: 88 total loss: 0.116212, cd: 0.001040, dense normal: 0.064531, sparse normal: 0.057321
epoch: 89 total loss: 0.116216, cd: 0.001040, dense normal: 0.064483, sparse normal: 0.057294
epoch: 90 total loss: 0.116101, cd: 0.001040, dense normal: 0.064279, sparse normal: 0.057080
epoch: 91 total loss: 0.115851, cd: 0.001037, dense normal: 0.064274, sparse normal: 0.057012
epoch: 92 total loss: 0.115573, cd: 0.001035, dense normal: 0.064076, sparse normal: 0.056834
epoch: 93 total loss: 0.115864, cd: 0.001037, dense normal: 0.064177, sparse normal: 0.056936
epoch: 94 total loss: 0.115725, cd: 0.001036, dense normal: 0.064222, sparse normal: 0.057037
epoch: 95 total loss: 0.115554, cd: 0.001035, dense normal: 0.063977, sparse normal: 0.056784
epoch: 96 total loss: 0.115869, cd: 0.001038, dense normal: 0.064050, sparse normal: 0.056867
epoch: 97 total loss: 0.115802, cd: 0.001037, dense normal: 0.064286, sparse normal: 0.057075
epoch: 98 total loss: 0.115955, cd: 0.001038, dense normal: 0.064310, sparse normal: 0.057129
epoch: 99 total loss: 0.115869, cd: 0.001037, dense normal: 0.064273, sparse normal: 0.057120
epoch: 100 total loss: 0.115586, cd: 0.001035, dense normal: 0.063945, sparse normal: 0.056783
epoch: 101 total loss: 0.115429, cd: 0.001034, dense normal: 0.063560, sparse normal: 0.056317
epoch: 102 total loss: 0.115373, cd: 0.001034, dense normal: 0.063592, sparse normal: 0.056330
epoch: 103 total loss: 0.115475, cd: 0.001035, dense normal: 0.063555, sparse normal: 0.056284
epoch: 104 total loss: 0.115512, cd: 0.001035, dense normal: 0.063651, sparse normal: 0.056398
epoch: 105 total loss: 0.115077, cd: 0.001031, dense normal: 0.063402, sparse normal: 0.056252
epoch: 106 total loss: 0.115329, cd: 0.001033, dense normal: 0.063599, sparse normal: 0.056317
epoch: 107 total loss: 0.115233, cd: 0.001032, dense normal: 0.063485, sparse normal: 0.056349
