2022-04-05 18:39:08.893109
/home/siyu_ren/pugeo_pytorch/main.py
Namespace(batch_size=8, data_path='/home/siyu_ren/pugeo_pytorch_data/', eval_xyz='D:\\PUGEO\\test_5000', gpu='0', jitter_max=0.03, jitter_sigma=0.01, learning_rate=0.001, log_dir='log_x16', max_epoch=600, min_lr=1e-05, model='model_pugeo', num_patch=58, num_point=256, num_shape_point=5000, patch_num_ratio=3, phase='train', pretrained='', reg_normal1=0.1, reg_normal2=0.1, up_ratio=16)
epoch: 60 total loss: 0.060711, cd: 0.000483, dense normal: 0.066010, sparse normal: 0.058333
epoch: 61 total loss: 0.060548, cd: 0.000482, dense normal: 0.065681, sparse normal: 0.058046
epoch: 62 total loss: 0.060784, cd: 0.000483, dense normal: 0.066035, sparse normal: 0.058487
epoch: 63 total loss: 0.060114, cd: 0.000479, dense normal: 0.064875, sparse normal: 0.057253
epoch: 64 total loss: 0.059836, cd: 0.000477, dense normal: 0.064607, sparse normal: 0.056939
epoch: 65 total loss: 0.060144, cd: 0.000479, dense normal: 0.065022, sparse normal: 0.057470
epoch: 66 total loss: 0.059964, cd: 0.000478, dense normal: 0.064646, sparse normal: 0.057126
epoch: 67 total loss: 0.060116, cd: 0.000479, dense normal: 0.064998, sparse normal: 0.057476
epoch: 68 total loss: 0.060379, cd: 0.000481, dense normal: 0.065099, sparse normal: 0.057701
epoch: 69 total loss: 0.060509, cd: 0.000482, dense normal: 0.065314, sparse normal: 0.057790
epoch: 70 total loss: 0.060348, cd: 0.000480, dense normal: 0.065391, sparse normal: 0.057983
epoch: 71 total loss: 0.060305, cd: 0.000480, dense normal: 0.065062, sparse normal: 0.057636
epoch: 72 total loss: 0.060209, cd: 0.000480, dense normal: 0.065032, sparse normal: 0.057496
epoch: 73 total loss: 0.059819, cd: 0.000476, dense normal: 0.064775, sparse normal: 0.057324
epoch: 74 total loss: 0.059815, cd: 0.000477, dense normal: 0.064397, sparse normal: 0.056864
epoch: 75 total loss: 0.059693, cd: 0.000476, dense normal: 0.064467, sparse normal: 0.056937
epoch: 76 total loss: 0.059881, cd: 0.000477, dense normal: 0.064813, sparse normal: 0.057285
epoch: 77 total loss: 0.060089, cd: 0.000478, dense normal: 0.065099, sparse normal: 0.057521
epoch: 78 total loss: 0.060053, cd: 0.000477, dense normal: 0.065236, sparse normal: 0.057766
epoch: 79 total loss: 0.060120, cd: 0.000479, dense normal: 0.065083, sparse normal: 0.057531
epoch: 80 total loss: 0.059563, cd: 0.000475, dense normal: 0.064292, sparse normal: 0.056830
epoch: 81 total loss: 0.059762, cd: 0.000476, dense normal: 0.064387, sparse normal: 0.056916
epoch: 82 total loss: 0.059709, cd: 0.000475, dense normal: 0.064569, sparse normal: 0.057175
epoch: 83 total loss: 0.059195, cd: 0.000472, dense normal: 0.063452, sparse normal: 0.056026
epoch: 84 total loss: 0.059255, cd: 0.000473, dense normal: 0.063397, sparse normal: 0.055992
epoch: 85 total loss: 0.059002, cd: 0.000470, dense normal: 0.063616, sparse normal: 0.056261
epoch: 86 total loss: 0.059080, cd: 0.000472, dense normal: 0.063308, sparse normal: 0.055890
epoch: 87 total loss: 0.059526, cd: 0.000475, dense normal: 0.063638, sparse normal: 0.056290
epoch: 88 total loss: 0.058914, cd: 0.000470, dense normal: 0.063331, sparse normal: 0.056009
epoch: 89 total loss: 0.058989, cd: 0.000471, dense normal: 0.063080, sparse normal: 0.055775
epoch: 90 total loss: 0.058824, cd: 0.000470, dense normal: 0.062945, sparse normal: 0.055503
epoch: 91 total loss: 0.059118, cd: 0.000472, dense normal: 0.063487, sparse normal: 0.056236
epoch: 92 total loss: 0.059378, cd: 0.000473, dense normal: 0.063868, sparse normal: 0.056612
epoch: 93 total loss: 0.058951, cd: 0.000470, dense normal: 0.063234, sparse normal: 0.056006
epoch: 94 total loss: 0.058568, cd: 0.000467, dense normal: 0.062872, sparse normal: 0.055633
epoch: 95 total loss: 0.058723, cd: 0.000468, dense normal: 0.063008, sparse normal: 0.055793
epoch: 96 total loss: 0.058665, cd: 0.000468, dense normal: 0.062708, sparse normal: 0.055449
epoch: 97 total loss: 0.058655, cd: 0.000468, dense normal: 0.062959, sparse normal: 0.055723
epoch: 98 total loss: 0.058795, cd: 0.000470, dense normal: 0.062709, sparse normal: 0.055505
epoch: 99 total loss: 0.059232, cd: 0.000473, dense normal: 0.063161, sparse normal: 0.056002
epoch: 100 total loss: 0.058769, cd: 0.000469, dense normal: 0.062888, sparse normal: 0.055728
epoch: 101 total loss: 0.058395, cd: 0.000467, dense normal: 0.062309, sparse normal: 0.055141
epoch: 102 total loss: 0.058208, cd: 0.000465, dense normal: 0.062174, sparse normal: 0.054950
epoch: 103 total loss: 0.058229, cd: 0.000465, dense normal: 0.062314, sparse normal: 0.055151
epoch: 104 total loss: 0.058682, cd: 0.000468, dense normal: 0.062822, sparse normal: 0.055621
epoch: 105 total loss: 0.058488, cd: 0.000467, dense normal: 0.062483, sparse normal: 0.055315
epoch: 106 total loss: 0.058377, cd: 0.000467, dense normal: 0.062192, sparse normal: 0.055110
epoch: 107 total loss: 0.058346, cd: 0.000466, dense normal: 0.062057, sparse normal: 0.054981
epoch: 108 total loss: 0.058289, cd: 0.000466, dense normal: 0.062039, sparse normal: 0.054928
epoch: 109 total loss: 0.058295, cd: 0.000466, dense normal: 0.062085, sparse normal: 0.054919
epoch: 110 total loss: 0.058302, cd: 0.000466, dense normal: 0.062236, sparse normal: 0.055097
epoch: 111 total loss: 0.058491, cd: 0.000468, dense normal: 0.062181, sparse normal: 0.055159
epoch: 112 total loss: 0.058399, cd: 0.000467, dense normal: 0.062059, sparse normal: 0.054926
epoch: 113 total loss: 0.058422, cd: 0.000466, dense normal: 0.062664, sparse normal: 0.055521
epoch: 114 total loss: 0.058225, cd: 0.000465, dense normal: 0.061983, sparse normal: 0.054828
