2022-04-05 18:38:15.758315
/home/siyu_ren/pugeo_pytorch/main.py
Namespace(batch_size=8, data_path='/home/siyu_ren/pugeo_pytorch_data/', eval_xyz='D:\\PUGEO\\test_5000', gpu='0', jitter_max=0.03, jitter_sigma=0.01, learning_rate=0.001, log_dir='log_x8', max_epoch=600, min_lr=1e-05, model='model_pugeo', num_patch=58, num_point=256, num_shape_point=5000, patch_num_ratio=3, phase='train', pretrained='', reg_normal1=0.1, reg_normal2=0.1, up_ratio=8)
epoch: 0 total loss: 1.075055, cd: 0.010092, dense normal: 0.319331, sparse normal: 0.339762
epoch: 1 total loss: 0.241760, cd: 0.001764, dense normal: 0.313978, sparse normal: 0.340164
epoch: 2 total loss: 0.211115, cd: 0.001461, dense normal: 0.311521, sparse normal: 0.338649
epoch: 3 total loss: 0.202150, cd: 0.001378, dense normal: 0.311540, sparse normal: 0.331980
epoch: 4 total loss: 0.192482, cd: 0.001302, dense normal: 0.304041, sparse normal: 0.319203
epoch: 5 total loss: 0.185233, cd: 0.001247, dense normal: 0.296586, sparse normal: 0.308823
epoch: 6 total loss: 0.181415, cd: 0.001222, dense normal: 0.291957, sparse normal: 0.299868
epoch: 7 total loss: 0.172505, cd: 0.001177, dense normal: 0.272894, sparse normal: 0.275068
epoch: 8 total loss: 0.149284, cd: 0.001056, dense normal: 0.218458, sparse normal: 0.217942
epoch: 9 total loss: 0.134464, cd: 0.000987, dense normal: 0.179492, sparse normal: 0.178003
epoch: 10 total loss: 0.127519, cd: 0.000952, dense normal: 0.162766, sparse normal: 0.160885
epoch: 11 total loss: 0.124098, cd: 0.000936, dense normal: 0.153357, sparse normal: 0.151176
epoch: 12 total loss: 0.121413, cd: 0.000922, dense normal: 0.147015, sparse normal: 0.145073
epoch: 13 total loss: 0.119296, cd: 0.000911, dense normal: 0.141650, sparse normal: 0.139930
epoch: 14 total loss: 0.116929, cd: 0.000899, dense normal: 0.136113, sparse normal: 0.134409
epoch: 15 total loss: 0.114968, cd: 0.000886, dense normal: 0.132656, sparse normal: 0.130966
epoch: 16 total loss: 0.112272, cd: 0.000870, dense normal: 0.127171, sparse normal: 0.125077
epoch: 17 total loss: 0.110277, cd: 0.000860, dense normal: 0.122717, sparse normal: 0.120285
epoch: 18 total loss: 0.107573, cd: 0.000843, dense normal: 0.117653, sparse normal: 0.115128
epoch: 19 total loss: 0.105262, cd: 0.000831, dense normal: 0.112471, sparse normal: 0.109473
epoch: 20 total loss: 0.102340, cd: 0.000814, dense normal: 0.106641, sparse normal: 0.103273
epoch: 21 total loss: 0.098902, cd: 0.000793, dense normal: 0.099767, sparse normal: 0.095821
epoch: 22 total loss: 0.095421, cd: 0.000776, dense normal: 0.091756, sparse normal: 0.086809
epoch: 23 total loss: 0.091758, cd: 0.000755, dense normal: 0.084195, sparse normal: 0.078261
epoch: 24 total loss: 0.089533, cd: 0.000742, dense normal: 0.079991, sparse normal: 0.073415
epoch: 25 total loss: 0.088737, cd: 0.000737, dense normal: 0.078670, sparse normal: 0.071851
epoch: 26 total loss: 0.087631, cd: 0.000730, dense normal: 0.076550, sparse normal: 0.069512
